3,17E+06 3,16E+06 3,19E+06 3,20E+06 3,17E+06 3,17E+06 3,16E+06 3,17E+06 3,17E+06 3,16E+06 
3,16E+06 3,16E+06 3,18E+06 3,20E+06 3,17E+06 3,17E+06 3,16E+06 3,17E+06 3,16E+06 3,16E+06 
3,16E+06 3,15E+06 3,17E+06 3,19E+06 3,16E+06 3,16E+06 3,16E+06 3,17E+06 3,16E+06 3,15E+06 
3,16E+06 3,15E+06 3,17E+06 3,18E+06 3,16E+06 3,16E+06 3,16E+06 3,17E+06 3,16E+06 3,15E+06 
3,16E+06 3,15E+06 3,17E+06 3,18E+06 3,16E+06 3,15E+06 3,15E+06 3,16E+06 3,15E+06 3,14E+06 
3,15E+06 3,15E+06 3,16E+06 3,17E+06 3,15E+06 3,15E+06 3,15E+06 3,16E+06 3,15E+06 3,14E+06 
3,15E+06 3,15E+06 3,16E+06 3,17E+06 3,15E+06 3,15E+06 3,15E+06 3,15E+06 3,14E+06 3,13E+06 
3,15E+06 3,14E+06 3,16E+06 3,16E+06 3,15E+06 3,14E+06 3,14E+06 3,15E+06 3,14E+06 3,13E+06 
3,14E+06 3,14E+06 3,16E+06 3,16E+06 3,15E+06 3,14E+06 3,14E+06 3,15E+06 3,14E+06 3,13E+06 
3,14E+06 3,14E+06 3,15E+06 3,15E+06 3,14E+06 3,14E+06 3,14E+06 3,14E+06 3,13E+06 3,12E+06 
3,14E+06 3,13E+06 3,15E+06 3,15E+06 3,14E+06 3,13E+06 3,14E+06 3,14E+06 3,13E+06 3,12E+06 
3,14E+06 3,12E+06 3,14E+06 3,15E+06 3,14E+06 3,13E+06 3,13E+06 3,14E+06 3,12E+06 3,12E+06 
3,13E+06 3,12E+06 3,14E+06 3,15E+06 3,14E+06 3,13E+06 3,13E+06 3,14E+06 3,12E+06 3,12E+06 
3,13E+06 3,12E+06 3,14E+06 3,14E+06 3,13E+06 3,12E+06 3,12E+06 3,13E+06 3,12E+06 3,11E+06 
3,13E+06 3,12E+06 3,13E+06 3,14E+06 3,13E+06 3,12E+06 3,12E+06 3,13E+06 3,12E+06 3,10E+06 
3,12E+06 3,11E+06 3,13E+06 3,14E+06 3,13E+06 3,12E+06 3,12E+06 3,13E+06 3,11E+06 3,10E+06 
3,12E+06 3,11E+06 3,13E+06 3,13E+06 3,12E+06 3,11E+06 3,11E+06 3,12E+06 3,11E+06 3,10E+06 
3,11E+06 3,11E+06 3,13E+06 3,13E+06 3,12E+06 3,11E+06 3,11E+06 3,12E+06 3,11E+06 3,10E+06 
3,11E+06 3,11E+06 3,12E+06 3,13E+06 3,12E+06 3,11E+06 3,11E+06 3,11E+06 3,11E+06 3,09E+06 
3,11E+06 3,10E+06 3,12E+06 3,13E+06 3,11E+06 3,11E+06 3,11E+06 3,11E+06 3,10E+06 3,09E+06 
3,11E+06 3,10E+06 3,11E+06 3,12E+06 3,11E+06 3,11E+06 3,11E+06 3,11E+06 3,10E+06 3,08E+06 
3,10E+06 3,10E+06 3,11E+06 3,12E+06 3,11E+06 3,10E+06 3,10E+06 3,10E+06 3,10E+06 3,08E+06 
3,10E+06 3,10E+06 3,11E+06 3,12E+06 3,10E+06 3,10E+06 3,10E+06 3,10E+06 3,09E+06 3,08E+06 
3,10E+06 3,09E+06 3,10E+06 3,12E+06 3,10E+06 3,10E+06 3,10E+06 3,10E+06 3,09E+06 3,08E+06 
3,09E+06 3,09E+06 3,10E+06 3,11E+06 3,10E+06 3,09E+06 3,10E+06 3,09E+06 3,09E+06 3,08E+06 
3,09E+06 3,09E+06 3,10E+06 3,11E+06 3,10E+06 3,09E+06 3,09E+06 3,09E+06 3,08E+06 3,07E+06 
3,09E+06 3,08E+06 3,09E+06 3,10E+06 3,09E+06 3,09E+06 3,09E+06 3,09E+06 3,08E+06 3,07E+06 
3,09E+06 3,08E+06 3,09E+06 3,10E+06 3,09E+06 3,08E+06 3,09E+06 3,09E+06 3,08E+06 3,07E+06 
3,08E+06 3,08E+06 3,09E+06 3,10E+06 3,09E+06 3,08E+06 3,08E+06 3,08E+06 3,07E+06 3,06E+06 
3,08E+06 3,08E+06 3,08E+06 3,09E+06 3,09E+06 3,08E+06 3,08E+06 3,08E+06 3,07E+06 3,06E+06 
3,08E+06 3,07E+06 3,08E+06 3,09E+06 3,09E+06 3,07E+06 3,08E+06 3,08E+06 3,07E+06 3,06E+06 
3,07E+06 3,07E+06 3,08E+06 3,09E+06 3,08E+06 3,07E+06 3,07E+06 3,08E+06 3,07E+06 3,05E+06 
3,07E+06 3,07E+06 3,07E+06 3,08E+06 3,08E+06 3,07E+06 3,07E+06 3,07E+06 3,06E+06 3,05E+06 
3,07E+06 3,06E+06 3,07E+06 3,08E+06 3,08E+06 3,07E+06 3,07E+06 3,07E+06 3,06E+06 3,05E+06 
3,07E+06 3,06E+06 3,07E+06 3,08E+06 3,07E+06 3,07E+06 3,07E+06 3,07E+06 3,06E+06 3,04E+06 
3,06E+06 3,06E+06 3,07E+06 3,08E+06 3,07E+06 3,06E+06 3,06E+06 3,06E+06 3,05E+06 3,04E+06 
3,06E+06 3,06E+06 3,06E+06 3,07E+06 3,07E+06 3,06E+06 3,06E+06 3,06E+06 3,05E+06 3,04E+06 
3,06E+06 3,05E+06 3,06E+06 3,07E+06 3,06E+06 3,06E+06 3,06E+06 3,06E+06 3,05E+06 3,04E+06 
3,06E+06 3,05E+06 3,05E+06 3,07E+06 3,06E+06 3,05E+06 3,05E+06 3,05E+06 3,04E+06 3,03E+06 
3,05E+06 3,04E+06 3,05E+06 3,06E+06 3,06E+06 3,05E+06 3,05E+06 3,05E+06 3,04E+06 3,03E+06 
3,05E+06 3,04E+06 3,05E+06 3,06E+06 3,06E+06 3,05E+06 3,05E+06 3,05E+06 3,04E+06 3,03E+06 
3,05E+06 3,04E+06 3,04E+06 3,06E+06 3,05E+06 3,05E+06 3,04E+06 3,05E+06 3,04E+06 3,02E+06 
3,05E+06 3,04E+06 3,04E+06 3,06E+06 3,05E+06 3,04E+06 3,04E+06 3,04E+06 3,03E+06 3,02E+06 
3,04E+06 3,03E+06 3,04E+06 3,05E+06 3,05E+06 3,04E+06 3,04E+06 3,04E+06 3,03E+06 3,02E+06 
3,04E+06 3,03E+06 3,04E+06 3,05E+06 3,05E+06 3,04E+06 3,04E+06 3,04E+06 3,03E+06 3,01E+06 
3,03E+06 3,03E+06 3,04E+06 3,05E+06 3,04E+06 3,04E+06 3,03E+06 3,04E+06 3,03E+06 3,01E+06 
3,03E+06 3,03E+06 3,03E+06 3,04E+06 3,04E+06 3,04E+06 3,03E+06 3,04E+06 3,03E+06 3,00E+06 
3,03E+06 3,02E+06 3,03E+06 3,04E+06 3,04E+06 3,03E+06 3,03E+06 3,03E+06 3,02E+06 3,00E+06 
3,03E+06 3,02E+06 3,03E+06 3,04E+06 3,03E+06 3,03E+06 3,02E+06 3,03E+06 3,02E+06 3,00E+06 
3,02E+06 3,02E+06 3,02E+06 3,04E+06 3,03E+06 3,03E+06 3,02E+06 3,03E+06 3,02E+06 3,00E+06 
3,02E+06 3,02E+06 3,02E+06 3,03E+06 3,03E+06 3,02E+06 3,02E+06 3,02E+06 3,01E+06 2,99E+06 
3,02E+06 3,01E+06 3,02E+06 3,03E+06 3,03E+06 3,02E+06 3,02E+06 3,02E+06 3,01E+06 2,99E+06 
3,02E+06 3,01E+06 3,01E+06 3,02E+06 3,02E+06 3,02E+06 3,02E+06 3,01E+06 3,01E+06 2,99E+06 
3,01E+06 3,01E+06 3,01E+06 3,02E+06 3,02E+06 3,01E+06 3,01E+06 3,01E+06 3,01E+06 2,99E+06 
3,01E+06 3,00E+06 3,01E+06 3,02E+06 3,02E+06 3,01E+06 3,01E+06 3,01E+06 3,00E+06 2,98E+06 
3,01E+06 3,00E+06 3,01E+06 3,02E+06 3,02E+06 3,01E+06 3,01E+06 3,01E+06 3,00E+06 2,98E+06 
3,00E+06 3,00E+06 3,00E+06 3,01E+06 3,01E+06 3,00E+06 3,00E+06 3,00E+06 3,00E+06 2,98E+06 
3,00E+06 3,00E+06 3,00E+06 3,01E+06 3,01E+06 3,00E+06 3,00E+06 3,00E+06 3,00E+06 2,97E+06 
2,99E+06 2,99E+06 3,00E+06 3,01E+06 3,01E+06 3,00E+06 3,00E+06 3,00E+06 3,00E+06 2,97E+06 
2,99E+06 2,99E+06 2,99E+06 3,01E+06 3,00E+06 2,99E+06 3,00E+06 2,99E+06 2,99E+06 2,97E+06 
2,99E+06 2,99E+06 2,99E+06 3,00E+06 3,00E+06 2,99E+06 2,99E+06 2,99E+06 2,99E+06 2,97E+06 
2,98E+06 2,99E+06 2,99E+06 3,00E+06 3,00E+06 2,99E+06 2,99E+06 2,99E+06 2,99E+06 2,96E+06 
2,98E+06 2,98E+06 2,98E+06 3,00E+06 3,00E+06 2,99E+06 2,98E+06 2,99E+06 2,99E+06 2,96E+06 
2,98E+06 2,98E+06 2,98E+06 2,99E+06 2,99E+06 2,98E+06 2,98E+06 2,98E+06 2,98E+06 2,96E+06 
2,97E+06 2,98E+06  2,99E+06 2,99E+06 2,98E+06 2,97E+06 2,98E+06 2,98E+06  
 2,97E+06  2,99E+06 2,98E+06 2,98E+06  2,98E+06   
   2,99E+06 2,98E+06      
3072030,46153846 3066235,60606061 3077856,40625 3083974,47761194 3076123,88059701 3070380 3071261,69230769 3072966,36363636 3065605,53846154 3052310,9375 3070874,53639636
